@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R52-53,56,7,21,55,16,24,57,25,23,27,5,19,26,3,11,17,2,8,6,20,10,9,18,12,54,30,58_clustered'

@attribute Instance_number numeric
@attribute attribute_51 numeric
@attribute attribute_52 numeric
@attribute attribute_55 numeric
@attribute attribute_6 numeric
@attribute attribute_20 numeric
@attribute attribute_54 numeric
@attribute attribute_15 numeric
@attribute attribute_23 numeric
@attribute attribute_56 numeric
@attribute attribute_24 numeric
@attribute attribute_22 numeric
@attribute attribute_26 numeric
@attribute attribute_4 numeric
@attribute attribute_18 numeric
@attribute attribute_25 numeric
@attribute attribute_2 numeric
@attribute attribute_10 numeric
@attribute attribute_16 numeric
@attribute attribute_1 numeric
@attribute attribute_7 numeric
@attribute attribute_5 numeric
@attribute attribute_19 numeric
@attribute attribute_9 numeric
@attribute attribute_8 numeric
@attribute attribute_17 numeric
@attribute attribute_11 numeric
@attribute attribute_53 numeric
@attribute attribute_29 numeric
@attribute attribute_57 {0,1}
@attribute Cluster {cluster0,cluster1}

@data
2012,0,0,11,0,0,2.506,0,0.58,183,1.75,0,0,0,0,1.16,0.58,0,0,0,0,0,0,0,0,0.58,0,0.178,0.58,0,cluster1
2013,0,0,107,0,2.06,3.344,1.72,0,194,0,0,0,0,1.03,0,0.34,0.34,0,0.68,0.34,0,0,0,0,0,0,0,0,0,cluster0
2014,0,0,1488,0,0,251,0.58,0,1506,0,0,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,cluster1
2015,0,0,13,0,0.61,1.837,0,0,305,1.38,0,0.61,0,1.38,0.3,0.3,0,0,0,0,0,0,0,0,0.15,0.15,0,0.15,0,cluster1
2016,0.376,0,157,0,0.29,3.338,0,0,611,0,0,0,0.29,0.29,0,0.29,0,0.29,0,0,0,0,0,0.29,0,0.29,0.125,0,0,cluster1
2017,0,0,15,0,0,2.119,0,0,142,0.86,0,0,0,0.86,0.43,0,0,0,0,0,0,0,0,0.43,0,2.17,0,0,0,cluster1
2018,0,0,13,0,0.55,2.113,0,0,167,2.77,0,1.11,0,1.11,2.22,0,0,0,0,0,0,0,0.55,0,0,0.55,0,0.55,0,cluster1
2019,0,0,8,0,0,2,0,0,36,1.49,0,0,0,0,1.49,0,0,0,0,0,0,0,0,0,0,1.49,0,0,0,cluster1
2020,0,0,13,0,0,1.61,0,0,95,1.79,0,0,0.44,0,0,0.89,0,0.89,0,0,0.44,0,0,0,0,0.89,0,0,0,cluster1
2021,0,0.129,31,0,0.6,3.266,0,0,196,0,0,0,0,0.6,0.3,0,0,0,0,0,0,0,0,0,0.6,0.9,0,0,0,cluster1
2022,0,0,3,0,0,1.666,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2023,0,0,4,0,0.71,1.292,0,0,84,0,0,0.35,0,1.42,0,0.35,0,0,0,0,0,0,0,0,0,0.35,0,0,0,cluster1
2024,0,0,1,0,0,1,0,0,19,0,0,0,1.85,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2025,0,0,2,0,0,1.25,0,0,15,1.61,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2026,0,0,28,0,0.65,3.857,0,0,162,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0.109,0,0,cluster1
2027,0,0,45,0,0.36,2.293,0,0,172,0.36,0,0,0.36,1.1,0.36,1.47,0.36,0,0,0,0,0,0,0.36,0,3.32,0,0,0,cluster0
2028,0,0,5,0,0,1.673,0,0,82,0,0,0,0.83,0,0.41,0,0,0,0,0.83,0.41,0,0,0,0,1.67,0,0,0,cluster1
2029,0,0,1,0,0,1,0,0,16,0,0,0,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2030,0,0,15,0,0.87,1.785,0,0,75,1.75,0,2.63,0.87,0,0.87,0.87,0,0,0,0,0,0,0.87,0,0,0,0,0,0,cluster1
2031,0,0,1,0,0,1,0,0,6,0,0,16.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2032,0,0,26,0,0,4.19,0,0,88,0,0,1.63,0,0,0,0,0,0,0,0,0,0,1.63,0,0,0,0,0,0,cluster1
2033,0,0,13,0,0,2.057,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58,0,0,0,cluster1
2034,0,0,5,0,0,1.75,0,0,21,2.22,0,0,0,0,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2035,0,0,15,0,0.56,2.464,0,0,207,3.37,0,0.28,0,1.4,1.4,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0,cluster1
2036,0,0,28,0,0,4.068,0,0,236,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.084,0,0,cluster1
2037,0.144,0,10,0,0,1.857,0,0,39,2.66,0,0,0,0,1.33,1.33,0,0,0,0,0,0,0,0,1.33,0,0,1.33,0,cluster1
2038,0,0,13,0,0.7,1.746,0,0,145,2.8,0,1.4,0.35,2.1,1.05,0,0,0,0,0,0,0,0.35,0,0,0,0,0.35,0,cluster1
2039,0,0.141,104,0,0,25.812,0,0,413,0.51,0,2.59,0,1.03,0,0,0,0,2.07,0,0,0,0,1.55,0,0.51,0.211,0,0,cluster1
2040,0,0,53,0,3.18,3.382,0,0,159,0.45,0,0,0,0,0,0.9,0,0,1.36,0,0,0,1.81,0,1.81,0.45,0,0,0,cluster0
2041,0,0,15,0,0,3.28,0,0,82,2.29,0,0,0,1.14,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2042,0,0,4,0,1.08,1.263,0,0,24,0,0,1.08,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2043,0,0.015,18,0,0,1.636,0,0,527,0.1,0,0,0.1,0.1,0,0.1,0.1,0,0,0.4,0.1,0,0,0,0.1,0.8,0,0,0,cluster1
2044,0,0,24,0,0,2.976,0,0,128,4.05,0,0,0.67,0.67,4.05,0,0,0,0,0,0,0,0.67,0,0,0.67,0,0,0,cluster1
2045,0,0,22,0,0,3.225,0,0,129,0.9,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,cluster1
2046,0,0,11,0,0,3.09,0,0,68,1.19,0,0,0,1.19,1.19,0,0,0,0,0,0,0,1.19,0,0,0,0,0,0,cluster1
2047,0,0,7,0,0,1.25,0,0,85,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0,cluster1
2048,0,0,87,0,0,4.295,0,0,262,0.32,0,0,0,0.32,0.32,0,0,0,0,0.64,0.32,0,0,0,0.32,1.6,0,0,0,cluster1
2049,0.318,0,15,0,3.7,2.695,0,0,62,1.85,0,0,0,1.85,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0,0,cluster0
2050,0,0,28,0,0.76,3.7,0,0,148,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0,0.123,0,0,cluster1
2051,0,0,1,0,0,1,0,0,6,0,0,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2052,0.176,0,12,0,3.33,2.1,0,0,63,2.22,0,2.22,0,2.22,1.11,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0,cluster0
2053,0,0,11,0,0,3.6,0,0,36,7.14,0,3.57,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,cluster1
2054,0.383,0,3,0,4.44,1.333,0,0,8,0,0,0,0,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster0
2055,0,0,1,0,0,1,0,0,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2056,0.05,0.05,15,0,0.33,2.725,0,0,248,5.66,0,2,0,0.66,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,cluster1
2057,0,0,24,0,0,2.61,0,0,308,2.61,0,0,0.2,0.4,1.2,0.2,0,0,0,0,0,0,0,0,0.2,1,0,0,0,cluster1
2058,0,0,3,0,4.16,1.181,0,0,13,0,0,2.08,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster0
2059,0,0,12,0,0,2.151,0,0,71,2.63,0,2.63,0,1.31,2.63,0,0,0,0,0,0,0,0,0,0,1.31,0,1.31,0,cluster1
2060,0.023,0.047,161,0,0.88,8.76,0,0,876,1.76,0,1.54,0,0.66,0,0,0,0,1.32,0,0,0,0.66,0.66,0.88,0.22,0.094,0.44,0,cluster1
2061,0,0.141,104,0,0,25.812,0,0,413,0.51,0,2.59,0,1.03,0,0,0,0,2.07,0,0,0,0,1.55,0,0.51,0.211,0,0,cluster1
2062,0,0,13,0,0.68,2.604,0,0,250,2.38,0,0.68,0,1.36,1.7,0,0,0,0,0,0,0,0.68,0.34,0,1.02,0.052,0.34,0,cluster1
2063,0,0,28,0,0,4.308,0,0,293,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0.47,0,0,0,0.074,0,0,cluster1
2064,0,0,5,0,0,2,0,0,16,0,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2065,0,0,3,0,0,1.428,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2066,0,0,13,0,0,2.097,0,0,86,2.8,0,1.86,0,0,1.86,0,0,0,1.86,0,0,0,0.93,0,0,0,0,0.93,0,cluster1
2067,0,0,28,0,0,4.268,0,0,286,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074,0,0,cluster1
2068,0.74,0,6,0,0,1.625,0,0,13,0,0,0,0,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2069,0,0,2,0,2.27,1.052,0,0,20,0,0,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2070,0,0,4,0,0,2.2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2071,0,0,11,0,1.33,2.529,0,0,86,0.66,0,0,0,2,0.66,0,0,0,0,0,0,0,0.66,0.66,0,2,0,0,0,cluster1
2072,0,0,13,0,0,2.682,0,0,110,2.04,0,2.04,0,0,1.02,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,cluster1
2073,0.055,0.055,15,0,0.34,2.87,0,0,244,5.86,0,1.37,0,0.68,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,cluster1
2074,0.26,0,10,0,0,2.2,0,0,44,0,0,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2075,0,0,5,0,0,1.727,0,0,19,0,0,0,0,3.84,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster0
2076,0.374,0,15,0,2.38,2.85,0,0,57,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2077,0.213,0,6,0,0,1.75,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2078,0,0,9,0,0,1.733,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,cluster1
2079,0,0,8,0,0,1.592,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,cluster1
2080,0.051,0.038,24,0,0.6,1.838,0.08,0,605,1.89,0.25,0,0.17,0.94,0.43,0.17,0.08,0,0,0.17,0,0,0,0.08,0,0.25,0,0.25,0,cluster1
2081,0,0,12,0,2.1,2.541,0,0,61,1.05,0,0,1.05,4.21,1.05,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,cluster0
2082,0,0,24,0,0,1.87,0,0,174,1.79,0,0,0.59,0,1.49,0,0,0,0,0,0,0,0,0,0,0.59,0,0.89,0,cluster1
2083,0.045,0,8,0,0.54,1.465,0,0,85,0.27,0,0,0,1.36,0,0,0,1.64,0,0,0,0,0,0.27,0,0.82,0,0,0,cluster1
2084,0.139,0,5,0,0.8,1.411,0,0,24,0.8,0,0,0,0.8,0,0,0,0,0,0,0.8,0,0,0,0,1.61,0,0,0,cluster1
2085,0.552,0,4,0,1.69,1.461,0,0,19,0,0,0,1.69,1.69,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0,cluster0
2086,0,0,15,0,0,2.567,0,0,172,9.62,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,cluster1
2087,0.075,0.075,12,0,0.46,2.482,0,0,139,4.2,0,1.4,0,0.93,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,cluster1
2088,0,0,24,0,0,2.108,0,0,213,1.06,0,0,1.41,0,1.06,0,0,0.35,0,0,0,0,0,0,0,1.76,0,0,0,cluster1
2089,0,0,1,0,0,1,0,0,5,0,0,0,0,2.94,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,cluster1
2090,0,0,3,0,0,1.1,0.68,0,22,0.68,0,0.68,0,5.47,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0,cluster1
2091,0.107,0,11,0,0,2.741,0,0,85,0.59,0,0,0.59,1.77,0.59,0,0,0,0,0,0,0,1.18,0,0,0.59,0,0,0,cluster1
2092,0,0,4,0,1.67,1.392,0,0,39,0,0,0,0,2.79,0,0,0,0,0.55,0,0,0,0,0,0,1.67,0,0,0,cluster0
2093,0,0,5,0,0,2.375,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2094,0,0,2,0,1.81,1.125,0,0,9,0,0,1.81,0,7.27,0,0,0,0,0,0,0,0,0,1.81,0,0,0,0,0,cluster0
2095,0.02,0,28,0.16,0.16,2.604,0,0,758,3,0,0.33,0.83,0,0.83,0.16,0,0.16,0,0,0,0,0,0.16,0,0.66,0.02,0.16,0,cluster1
2096,0.051,0,28,0,0.33,1.786,0,0,134,1.99,0,0,0,2.65,0,0.99,0,0,0.33,0,0.66,0,0,0,0,0.33,0,0,0,cluster1
2097,0,0,18,0,0,1.833,0,0,935,0.08,0,0.08,0,0,0.08,0,0,0.08,0,0.08,0,0,0,0,0,0.08,0,0,0,cluster1
2098,0,0,10,0,0,1.133,0,0,263,0,0,0,0.6,0.2,0,0.2,0,0.1,0,0,0.2,0,0,0.1,0,0.5,0,0,0,cluster1
2099,0,0,4,0,0.85,1.228,0,0,43,0.85,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2100,0,0,2,0,0,1.25,0,0,5,0,0,16.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2101,0.026,0,23,0,0.23,2.222,0,0,480,0.23,0,0,0.92,0,0,0.23,0,0.23,0,0,0,0,0,0.23,0,0.92,0.026,0,0,cluster1
2102,0,0,24,0,0,2.432,0,0,557,2.68,0,0,0.08,0.16,0,0.33,0,0.25,0,0.16,0,0,0,0,0,1,0,0,0,cluster1
2103,0,0,13,0,0,3.039,0,0,155,1.62,0,1.08,0,1.62,1.08,0,0,0,0,0,0,0,0.54,0,0,0,0,0.54,0,cluster1
2104,0.5,0,8,0,0,1.538,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0,cluster1
2105,0,0,16,0,0,3.714,0,0,26,16.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2106,0,0,17,0,0,3.631,0,0,69,3.84,0,0,0,0,3.84,0,0,0,0,0,0,0,2.56,0,0,0,0,0,0,cluster1
2107,0,0,17,0,0,3.631,0,0,69,3.84,0,0,0,0,3.84,0,0,0,0,0,0,0,2.56,0,0,0,0,0,0,cluster1
2108,0,0,8,0,0,1.583,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,cluster1
2109,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4.34,0,0,2.17,0,0,0,cluster1
2110,0.09,0,121,0,0.69,2.43,0,0,666,0.46,0,0,0.46,0,0,0.23,0,0.23,0,0,0,0,0,0.23,0,0,0.203,0,0,cluster1
2111,0,0,1,0,0,1,0,0,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2112,0,0,11,0,0,4.333,0,0,13,0,0,16.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2113,1.458,0,2,0,0,1.066,0,0,16,0,0,1.16,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2114,0,0,60,0,0.08,4.858,0,0,2026,0.16,0,0,0.08,0.08,0,0,0,0.08,0,0,0,0,0.08,0,0,0,0.007,0,0,cluster1
2115,0,0.026,48,0,0.19,3.704,0,0,726,0.58,0,0.09,0,0.38,0.68,0.09,0,0,0,0.09,0.09,0,0,0.87,0,0.29,0,0,0,cluster1
2116,0,0.1,22,0,0,2.188,0,0.09,510,3.48,0.36,0,0.09,0.09,0,0.09,0,0.55,0,0.55,0,0,0.09,0,0,0.73,0,0,0,cluster1
2117,0,0.015,38,0,0.15,2.725,0,0,1150,0.78,0,0.05,0.05,0.31,0.83,0.15,0,0,0,0,0.05,0,0,0.52,0.05,0.15,0,0,0,cluster1
2118,0,0.163,235,0,0,9.876,0,0,1116,0.49,0,0.24,0.24,0.99,0,0,0,0,0.24,0.24,0,0,0.49,0,0,0,0,0,0,cluster1
2119,0.078,0,121,0,0.59,3.153,0,0,618,0.59,0,0,0.59,0,0,0.29,0,0.29,0,0,0,0,0,0.29,0,0,0.235,0,0,cluster1
2120,0,0,34,0,0.46,4.153,0,0,162,1.84,0,0.92,0,1.38,1.38,0,0,0,0,0,0,0,0.46,0,0.46,1.84,0,0.46,0,cluster1
2121,0.072,0.072,38,0,1.35,3.242,0,0,347,2.03,0,0,0.45,1.12,0,0.22,0.45,0,0,0,0,0,0.22,0,0,1.12,0.036,0,0,cluster0
2122,0.076,0.076,37,0.16,2.31,3.401,0.99,0,364,0,0.33,0.16,1.15,2.8,0,0.16,0,0,0.33,0,0.33,0,1.32,0,0,0.16,0.025,0,0,cluster0
2123,0,0,4,0,0,1.75,0,0,14,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2124,0.026,0,34,0,1.06,2.941,0,0,353,2.13,0,0.17,0.88,1.06,1.06,0,0,0,0,0,0,0,0,0,0,0.71,0,0.17,0,cluster1
2125,0,0,2,0,0,1.25,0,0,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2126,0,0,8,0,0,1.309,0,0,55,0,0,0,0,0.39,0,0,0,0,0,0.79,0,0,0,0,0,0.79,0,0,0,cluster1
2127,0,0.01,51,0,0.07,1.588,0.07,0,243,0.95,0,0,1.62,1.54,0,0.51,0,0.81,0,0,0,0,0,0,0,0.73,0,0.07,0,cluster1
2128,0,0,11,0,0,3.571,0,0,75,1.05,0,0,0,0,1.05,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,cluster1
2129,0.294,0,11,0,0,3.714,0,0,78,1.72,0,0,0,0,1.72,0,0,0,0,0,0,0,1.72,0,0,0,0,0,0,cluster1
2130,0.041,0,4,0,0,1.517,0,0,44,0.78,0,0,0,1.56,0.26,0.26,0,0,0,0,0,0,0,0,0,0.26,0,0,0,cluster1
2131,0.044,0,22,0,1.82,2.222,0,0,120,0.3,0,0,0.91,1.21,0.3,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,cluster1
2132,0.285,0,7,0,0.81,2.136,0,0,47,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,cluster1
2133,0,0,28,0,0.46,2.891,0,0,347,0.92,0,0,0.15,1.99,0.15,0.76,0,0,0,0,0,0,0.15,0,0,1.07,0.026,0,0,cluster1
2134,0,0,13,0,1.69,3.315,0,0,63,0,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2135,0,0,8,0,0,1.857,0,0,39,1.29,0,1.29,0,1.29,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2136,0,0,28,0,0,4.03,0,0,133,0,0,1.01,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,cluster1
2137,0.251,0,12,3.07,0,3.214,0,0,45,0,0,0,0,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2138,0,0,1,0,0,1,0,0,17,0,0,3.12,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2139,0,0,4,0,0,1.607,0,0,45,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,cluster1
2140,0,0,3,0,0,1.545,0,0,17,3.57,0,0,0,0,3.57,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,cluster1
2141,0,0,28,0,0,4.413,0,0,1399,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031,0,0,cluster1
2142,0,0,87,0,0,4.093,0,0,262,0.32,0,0,0,0,0.32,0,0,0,0,0.65,0.32,0,0,0,0.32,1.62,0,0,0,cluster1
2143,0.123,0,34,0,0,5.515,0,0,182,2.54,0,0,0,0,2.54,0,0,0,0,0,0,0,0,0,0.84,0,0.371,0,0,cluster1
2144,0,0,22,0,0,4.052,0,0,77,1.66,0,0,0,0,1.66,0,0,0,0,0,0,0,0,0,1.66,0,0.53,0,0,cluster1
2145,0,0,3,0,0,1.333,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2146,0,0,3,0,0,1.666,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2147,0,0.136,11,0,0,2.62,0.78,0,76,0.78,0,0,0.78,1.56,0.78,0,0,0,0,0,0,0,0.78,0.78,0,0.78,0,0,0,cluster1
2148,0,0,1,0,0,1,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2149,0,0,17,0,0.94,2.315,0,0,88,0.47,0,0,0,1.42,0.47,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2150,0,0,11,0,0,2.526,0,0,48,3.7,0,1.85,0,1.85,1.85,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0,cluster1
2151,0,0,3,0,0,1.23,0,0,16,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,4.76,0,0,0,cluster1
2152,0,0,2,0,0,1.25,0,0,10,5.71,0,0,0,0,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2153,0,0,20,0,0,3.578,0,0,68,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2154,0,0,4,0,0.45,1.263,0,0,192,1.37,0,0,0.91,0.82,0.09,0.36,0,0.82,0.09,0,0.18,0,0,0,0,3.66,0,0.82,0,cluster1
2155,0,0,25,0,0,2.318,0,0,51,1.96,0,0,0,0,3.92,1.96,0,0,0,0,0,0,0,0,0,3.92,0,1.96,0,cluster1
2156,0,0,1,0,0,1,0,0,5,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2157,1.798,0,13,0,0,2.615,0,0,34,4.34,0,0,0,0,10.86,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0,cluster1
2158,0,0,28,0,0,5.357,0,0,150,8.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2159,0,0.023,57,0,0,2.658,0.08,0,436,2.68,0,0,0.8,0,0,0.17,0,0,0.17,0.26,0.08,0,0,0,0,3.39,0,0,0,cluster1
2160,0,0,13,0,0,2.333,0,0,21,0,0,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0.751,0,0,cluster1
2161,0,0,4,0,0,1.268,0,0,52,2.79,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,1.39,0,0,0,cluster1
2162,0,0,12,0,0,1.394,0,0,53,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0,0,cluster1
2163,0,0,46,0.31,0.63,3.547,0,0,259,0,0,0.95,0.31,0.63,0,0,0.31,0,0,0,0,0,0,0.31,0.31,0.31,0.255,0,0,cluster1
2164,0,0.028,24,0,0,2.394,0,0,881,4.3,0,0,0.14,0,0,0.07,0.14,0.93,0.07,0.43,0,0,0,0,0,1.43,0,0.07,0,cluster1
2165,0,0,9,0,0,1.48,0,0,37,1.45,0,0,0,4.37,0,0,0,0,0,0,0,0,0.72,0,0,0.72,0,0,0,cluster1
2166,0,0,118,0.32,2.63,5.633,0,0,338,0,0,0.32,0,0.98,0,0.32,0,0,0,0,0,0,0,0.32,0.32,0.65,0.128,0,0,cluster0
2167,0.225,0,10,0,0,1.807,0,0,47,1.81,0,0,0,0.9,1.81,0.9,0.9,0,0,0,0,0,0,0,0.9,0,0,0.9,0,cluster1
2168,0,0,14,0,0,2.25,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473,0,0,cluster1
2169,0.432,0,16,0,2.7,2,0,0,60,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2170,0,0,87,0,0,1.997,0,0,1620,0.3,0,0,0,0.05,0.2,0,0,0.05,0.1,0.2,0,0,0,0,0.05,0.3,0,0.05,0,cluster1
2171,0,0,52,0,1.21,4.536,0,0,186,3.63,0,1.21,0,0.6,1.21,0,0,0,0,0,0,0,0,0.6,0,0,0,1.81,0,cluster1
2172,0.102,0,10,0,0,2.121,0,0,87,4.47,0,0,0,1.49,2.23,0,0,0,0,0,0,0,0,0,0.74,0.74,0.204,0.74,0,cluster1
2173,0.116,0,10,0,0,1.619,0,0,68,1.83,0,0,0,1.83,0.91,0.91,0,0,0,0,0,0,0,0,0.91,1.83,0,0.91,0,cluster1
2174,0,0,12,0,0,1.947,0,0,111,1.71,0,0,0.57,0,0.57,0,0,0,0,0,0,0,0,0,0.57,1.71,0,0.57,0,cluster1
2175,0.063,0,121,0,0.67,3.133,0,0,749,0.67,0,0,0.45,0,0,0.22,0,0.22,0,0,0,0,0,0.22,0,0,0.232,0,0,cluster1
2176,0,0,3,0,0,1.4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2177,0.044,0.051,27,0,0.63,1.664,0,0,1263,1.9,0.08,0,0.12,0.88,0.5,0.12,0,0.08,0,0.29,0,0,0.04,0.08,0,0.8,0,0.12,0,cluster1
2178,0.069,0,121,0,0.74,2.776,0,0,622,0.49,0,0,0.49,0,0,0.24,0,0.24,0,0,0,0,0,0.24,0,0,0.255,0,0,cluster1
2179,0,0,6,0,0,1.586,0,0,92,1.03,0,0,0.51,0,0.51,0,0,0.51,0,0,0,0,0,0,0,3.09,0,0.51,0,cluster1
2180,0,0,8,0,0,1.833,0,0,22,0,0,0,0,0,0,1.5,0,0,0,0,0.75,0,0,0,0,0,0,0,0,cluster1
2181,0.145,0,14,0,3,1.342,0,0,51,0,0,0,1.5,6.5,0,1,0.5,0,0,0,0,0,1,0,0,2,0,0,0,cluster0
2182,0.102,0,26,0,0,4.771,0,0,167,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0.77,0,0,0,cluster1
2183,0.044,0,10,0,0,1.666,0,0,180,0,0,0,0,0.29,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
2184,0,0,2,0,0,1.222,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster1
